날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-01-02,137163.54,138200,139445,137750,138185,500071,69004961120,20975.62
2025-01-03,137069.81,137285,137575,136860,137510,315589,43337182560,21326.16
2025-01-06,139481.31,139700,139980,139230,139605,219146,30592689145,21559.5
2025-01-07,139463.8,140420,140785,138830,139225,309549,43253821275,21173.04
2025-01-08,137114.93,138765,138800,137000,137660,345647,47481316310,21180.97
2025-01-09,137683.09,137400,137600,136935,137450,235264,32270315575,21180.97
2025-01-10,138106.43,137025,137700,136430,137545,227807,31202875255,20847.58
2025-01-13,136470.64,136600,136900,135510,135845,317938,43253646850,20784.72
2025-01-14,135350.58,136020,136280,135625,136105,195951,26639369245,20757.41
2025-01-15,134994.81,135125,135250,134900,135165,175172,23661043860,21237.85
2025-01-16,137684.38,137725,137920,137115,137840,331785,45655937415,21091.25
2025-01-17,136876.75,136800,137205,136365,137205,320023,43785125975,21441.16
2025-01-20,138525.04,139035,139205,138015,138470,202555,28054805095,21441.16
2025-01-21,137367.77,138155,138275,136455,137590,380401,52264332525,21566.51
2025-01-22,137981.37,138240,138970,137910,138810,294285,40765359080,21853.0
2025-01-23,139713.06,139505,139715,139365,139505,200778,28015813865,21900.93
2025-01-24,139430.72,139715,139915,138975,139210,420051,58604559980,21774.01
2025-01-31,138970.15,138615,140235,138505,139825,358219,50001777475,21478.05
2025-02-03,140156.88,137100,137620,136330,136600,477692,65438513585,21297.58
2025-02-04,138580.41,139055,139195,137710,138230,322038,44670026240,21566.92
2025-02-05,138546.4,139020,139110,137730,137730,299129,41431227775,21658.16
2025-02-06,139465.73,139100,139980,139085,139845,246569,34399603250,21774.07
2025-02-07,140211.37,139850,140420,139850,139990,194966,27324591290,21491.31
2025-02-10,138738.33,139805,139895,139330,139435,250221,34925873085,21756.73
2025-02-11,140579.99,140190,140490,140125,140135,192175,26961144400,21693.52
2025-02-12,140262.29,140285,140585,140075,140245,216157,30327571460,21719.26
2025-02-13,139843.65,140850,141205,140460,140550,195008,27465759855,22030.71
2025-02-14,141461.83,141175,141755,141110,141530,264106,37367102390,22114.69
2025-02-17,141840.86,141865,142360,141785,142300,224991,31970520695,22114.69
2025-02-18,142039.35,142135,142615,141925,142485,230785,32846903030,22164.61
2025-02-19,141844.81,142440,142485,142015,142015,259311,36888725390,22175.6
2025-02-20,141851.72,142015,142050,141255,141255,655780,92819746640,22068.06
2025-02-21,140835.88,140845,141080,140545,140785,463020,65211870265,21614.08
2025-02-24,137281.72,138765,138775,137555,138035,674409,93187927935,21352.08
2025-02-25,135922.06,137445,137445,135400,136000,493694,67148912545,21087.25
2025-02-26,134485.13,134815,135320,134615,135265,559316,75447341480,21132.92
2025-02-27,135701.01,135140,136355,134555,136355,961685,130203263030,20550.95
2025-02-28,133831.75,133215,134035,132950,134035,1132645,151152255950,20884.41
2025-03-04,132872.41,133085,133560,132485,133535,811534,107995047059,20352.53
2025-03-05,131759.48,132950,133180,132305,132745,492205,65337944710,20628.46
2025-03-06,132413.54,132270,132420,131710,132250,438449,57930602096,20052.63
2025-03-07,129129.86,129920,129985,129390,129540,556319,72164109189,20201.37
2025-03-10,130598.74,128950,130420,128685,129850,350205,45391693115,19430.95
2025-03-11,126141.14,125325,126380,124075,126380,1093196,137061963778,19376.96
2025-03-12,125168.41,125960,126100,125410,125510,427560,53765223937,19596.02
2025-03-13,126819.38,126900,127150,125535,125700,500177,63236306515,19225.48
2025-03-14,124450.82,125025,126000,125000,125450,347044,43582265044,19704.64
2025-03-17,127020.12,126660,126660,125990,126095,358826,45332289012,19812.24
2025-03-18,128169.5,127340,127705,126910,127705,307439,39088255564,19483.36
2025-03-19,126085.83,125935,126920,125865,126300,359326,45365356883,19736.66
2025-03-20,128218.86,128560,129270,128425,128950,322124,41505683931,19677.61
2025-03-21,128168.84,128510,129030,128020,128090,552447,71037797383,19753.97
2025-03-24,129098.95,129665,130340,129615,130240,482599,62763497713,20180.45
2025-03-25,132003.72,131835,132085,131760,131790,458433,60465278253,20287.83
2025-03-26,132454.84,132575,132840,132230,132265,486890,64502827916,19916.99
2025-03-27,129946.01,129955,130340,129835,130140,502068,65314758447,19798.62
2025-03-28,129281.07,129225,129425,128925,129365,418103,54022195364,19281.4
2025-03-31,126457.34,125080,125080,124365,124845,611223,76218490309,19278.45
2025-04-01,126353.21,125935,126010,125415,125960,571335,71833928879,19436.42
2025-04-02,126924.0,127435,127595,126500,126760,440426,55910300257,19581.78
2025-04-03,127910.84,122785,124100,122680,123675,837428,103393596360,18521.47
2025-04-04,118306.24,119820,120045,117260,118130,670836,79587467888,17397.7
2025-04-07,113731.7,108135,110480,106945,107920,1279363,139078108610,17430.68
2025-04-08,114372.39,114905,116160,114770,115465,650743,75157820240,17090.4
2025-04-09,113012.38,111595,112635,109820,111295,729198,80892854813,19145.06
2025-04-10,124157.51,124530,124780,122350,123100,776356,95963713956,18343.57
2025-04-11,118448.19,118005,120510,115885,120310,490446,57897823251,18690.05
2025-04-14,118512.94,120445,120860,119970,120285,349859,42093372760,18796.02
2025-04-15,119330.08,118815,119430,118500,119175,289726,34466728817,18830.23
2025-04-16,119631.61,118325,118577,116605,117120,277584,32713341981,18257.64
2025-04-17,115378.28,115290,116790,115195,116765,238755,27727064054,18258.09
2025-04-18,115725.52,116075,116340,115400,116340,172615,20017839679,18258.09
2025-04-21,115377.45,115150,115400,114100,114490,342635,39288611881,17808.3
2025-04-22,112671.4,113060,113920,112910,113360,351970,39910735302,18276.41
2025-04-23,115620.41,118495,118685,117765,117930,318262,37607789014,18693.26
2025-04-24,119433.48,118820,119335,118500,119220,239543,28481308855,19214.4
2025-04-25,122889.03,123030,123840,122940,123580,275055,33911833084,19432.56
2025-04-28,124409.36,123985,124330,123425,124330,171268,21198486004,19427.29
2025-04-29,123923.97,124050,124635,123775,124015,252817,31398018108,19544.95
2025-04-30,123267.14,123870,123870,122520,122785,242338,29843689035,19571.02
2025-05-02,123419.74,125225,126810,123760,123760,349690,43963436915,20102.61
2025-05-07,122801.21,122580,124000,122255,123335,306941,37857815690,19867.97
2025-05-08,123156.77,123340,124720,123040,124385,292439,36245181709,20063.56
2025-05-09,124669.19,124930,126150,124505,124895,365441,45770709071,20061.45
2025-05-12,124863.5,126170,127645,125930,127490,327121,41555010651,20868.15
2025-05-13,131144.56,130815,131100,129960,130640,471584,61524075775,21197.7
2025-05-14,133598.17,133410,133860,132500,133860,389369,51870090846,21319.21
2025-05-15,131944.08,133400,133515,131565,131735,357434,47334655652,21335.82
2025-05-16,131606.93,132110,132400,131280,131440,171964,22697872803,21427.94
2025-05-19,132970.85,131735,132150,131035,131240,353962,46547237046,21447.05
2025-05-20,132581.0,132555,132890,131645,131805,209561,27712666955,21367.37
2025-05-21,131599.9,131805,131950,130745,130835,150905,19805872984,21080.36
2025-05-22,129277.28,128685,129490,128555,129385,236332,30480022288,21112.47
2025-05-23,128950.27,129575,129855,128340,128525,172138,22210496328,20915.66
2025-05-26,126705.7,128515,128710,127705,128310,207801,26630083729,20915.66
2025-05-27,127178.58,128440,128770,128050,128735,170435,21883943603,21414.99
2025-05-28,130866.41,130535,131010,130125,130810,161861,21139625667,21318.17
2025-05-29,130230.07,132975,133720,132600,132755,351623,46860104793,21363.95
2025-05-30,130902.93,129665,130920,129255,130595,360277,46773283690,21340.99
2025-06-02,130099.13,130580,130580,129070,129245,212478,27576460321,21491.75
2025-06-04,131726.84,132140,132400,131675,131675,161282,21307394865,21721.92
2025-06-05,131016.61,131375,131565,130670,130875,190818,24987511444,21547.43
2025-06-09,131091.51,131190,131615,130600,130725,225662,29571908734,21797.87
2025-06-10,132072.22,130975,132535,130975,132135,369522,48742305818,21941.92
2025-06-11,133979.26,132850,133550,132510,133550,242161,32202111746,21860.8
2025-06-12,131913.49,132770,132770,131120,131570,323688,42754448931,21913.32
2025-06-13,133283.7,130625,131350,129850,130935,309088,40409856754,21631.04
2025-06-16,131028.75,131480,131735,130985,131510,155007,20360347815,21937.57
2025-06-17,132774.16,131700,132375,131615,132375,206197,27221432212,21719.08
2025-06-18,132102.03,132800,133025,132285,132505,150098,19904862181,21719.69
2025-06-19,133144.27,132625,133025,132100,132515,347457,46058026775,21719.69
2025-06-20,131734.4,132400,132450,131585,131725,260911,34404748313,21626.39
2025-06-23,132968.01,131640,132640,131240,132640,405149,53477822212,21856.33
2025-06-24,132041.16,133900,133900,133150,133835,431788,57677313114,22190.52
2025-06-25,134278.27,133875,134590,133605,134380,353823,47463215260,22237.74
2025-06-26,134027.7,134130,134485,133880,134405,319619,42888932827,22447.29
2025-06-27,135329.5,135275,135655,135005,135625,298685,40423509402,22534.2
2025-06-30,135112.72,136430,136585,135540,135990,238180,32434991283,22679.01
2025-07-01,136580.28,136055,136595,135850,136290,227165,30930890319,22478.14
2025-07-02,135660.28,135445,136290,135355,136095,216185,29392853284,22641.89
2025-07-03,136711.37,136215,137120,136165,136900,190692,26036588054,22866.97
2025-07-04,138364.82,138135,138670,137550,137845,243755,33711559933,22866.97
2025-07-07,138926.31,137935,138445,137805,138150,240964,33278968519,22685.57
2025-07-08,137843.43,138150,138340,137735,138155,296410,40903422843,22702.25
2025-07-09,138653.81,138255,138600,138210,138435,164051,22704599306,22864.91
2025-07-10,139141.85,139490,139490,138785,138785,267253,37178159520,22829.26
2025-07-11,139472.83,139185,139385,138400,139240,425963,59128980825,22780.6
2025-07-14,139752.29,138855,139070,138565,138990,274125,38060809401,22855.63
2025-07-15,140121.35,140115,141025,140005,140750,566757,79721858193,22884.59
2025-07-16,140854.12,140540,141005,140440,140465,237905,33476851700,22907.97
2025-07-17,141694.26,140970,142050,140920,142050,223032,31513741528,23081.05
2025-07-18,142799.76,142695,143285,142535,143100,337103,48140794270,23065.47
2025-07-21,142224.65,142810,142925,142570,142675,223710,31939559707,23180.06
2025-07-22,142895.28,142475,142895,142365,142715,271933,38804070811,23063.58
2025-07-23,141362.16,141735,142150,141060,141590,395658,55957897090,23162.41
2025-07-24,140674.1,141850,141985,140875,141095,300926,42567347552,23219.87
2025-07-25,142119.15,141745,142550,141690,142395,469379,66785222557,23272.25
2025-07-28,142851.36,143335,143750,143160,143750,332891,47736630186,23356.27
2025-07-29,144087.4,144485,144785,144365,144575,331984,48002143337,23308.3
2025-07-30,142985.93,143810,143850,142680,143365,377968,54112224214,23345.41
2025-07-31,143615.24,145355,146520,145110,145580,620884,90542089752,23218.12
2025-08-01,144313.04,143395,144165,143060,143780,624758,89826072458,22763.31
2025-08-04,139867.61,140555,140735,140000,140550,854075,119838694165,23188.61
2025-08-05,142783.04,142505,143350,142315,143205,299510,42773756799,23018.56
2025-08-06,141861.12,141225,142465,141220,142255,320581,45439040196,23315.04
2025-08-07,142831.75,143420,143950,143025,143220,295390,42417786054,23389.53
2025-08-08,144158.37,143565,144515,143500,144430,298395,42996419179,23611.27
2025-08-11,145363.16,145440,145710,145355,145460,277907,40444711510,23526.63
2025-08-12,145059.6,145285,145470,144800,145235,363244,52721294256,23839.2
2025-08-13,146112.16,146390,146630,146125,146175,337020,49341783826,23849.04
2025-08-14,146201.02,145795,146460,145765,145975,292661,42759240698,23832.44
2025-08-18,145694.49,146530,146560,145680,145680,251795,36782340162,23713.76
2025-08-19,146319.49,146025,146110,145715,146000,224982,32841909693,23384.77
2025-08-20,145078.01,144235,144720,144140,144400,381111,55037109858,23249.57
2025-08-21,144233.64,144090,144415,143865,144400,255798,36879672483,23142.58
2025-08-22,143055.28,143975,144000,142720,142755,263339,37751386252,23498.12
2025-08-25,144377.73,144455,144785,144290,144320,224421,32427975307,23425.61
2025-08-26,145086.22,144505,144980,143585,144885,543168,78321944794,23525.29
2025-08-27,145751.64,145580,145910,145580,145860,241618,35224526173,23565.85
2025-08-28,145089.61,144955,144955,144580,144825,263462,38135531132,23703.45
2025-08-29,146205.65,145605,146020,145555,146020,237525,34625260208,23415.42
2025-09-01,144810.63,144790,145240,144280,144360,296718,42925442782,23415.42
2025-09-02,144531.94,144625,145005,144125,144270,218451,31565972321,23231.11
2025-09-03,143528.57,144240,144330,143800,144005,327147,47125628089,23414.84
2025-09-04,144681.07,144265,145155,144265,144785,249739,36168456445,23633.01
2025-09-05,145880.39,146275,146630,146110,146540,410615,60106878941,23652.44
2025-09-08,145972.13,146540,146690,146065,146425,416994,61046305059,23762.3
2025-09-09,146375.54,146290,146765,146165,146680,418907,61337950014,23839.8
2025-09-10,146715.74,146985,147225,146855,147100,335315,49308515773,23849.27
2025-09-11,147322.65,147105,147510,146995,147510,360012,52984632009,23992.56
2025-09-12,147823.65,148100,148115,147720,147890,299509,44294805979,24092.19
2025-09-15,148524.58,148760,148880,148400,148680,389874,57960420074,24293.78
2025-09-16,148688.16,149370,149460,148900,148945,401124,59850798772,24274.25
2025-09-17,148695.81,148630,148960,148485,148705,384434,57161693567,24223.69
2025-09-18,149215.72,149080,150140,149065,149990,366986,54924842800,24454.89
2025-09-19,151268.53,151000,151600,150950,151220,387052,58569430258,24626.25
2025-09-22,152209.65,152680,152855,151925,151955,431799,65749631326,24761.07
2025-09-23,153060.76,152860,153340,152730,153100,353901,54200756708,24580.17
2025-09-24,152475.58,152170,152765,152010,152765,452181,68872670220,24503.57
2025-09-25,152336.4,152765,152770,152285,152310,396852,60542412205,24397.31
2025-09-26,152953.5,152350,153260,152345,153145,447298,68304909201,24503.85
2025-09-29,152130.56,153455,153455,152720,152805,473619,72498205871,24611.35
2025-09-30,153257.77,152810,153520,152740,153325,357606,54778113938,24679.99
2025-10-01,153725.59,153355,153800,152835,152865,246896,37874498039,24800.86
2025-10-02,154127.68,154350,154890,154350,154475,562995,87043634481,24892.76
2025-10-10,158319.12,157000,159960,157000,158610,509606,80763456943,24221.75
2025-10-13,153305.89,155745,156705,155500,155950,722254,112745752678,24750.25
2025-10-14,157217.87,156825,157660,155560,155945,542939,85109852142,24579.32
2025-10-15,155076.11,156010,156200,155445,155970,632989,98659638062,24745.36
2025-10-16,155751.21,156275,156450,155645,156260,557030,86917545821,24657.24
2025-10-17,155554.0,154670,155245,154205,154390,401665,62180250363,24817.95
2025-10-20,156349.44,156870,157245,156515,157110,384478,60352884410,25141.02
2025-10-21,159339.29,158735,159305,158545,159230,653581,103914619527,25127.13
2025-10-22,159476.58,159375,159840,159000,159675,421159,67155901565,24879.01
2025-10-23,158982.63,157875,159530,157720,159340,403660,64082284359,25097.42
2025-10-24,160094.32,160390,160950,160105,160865,379345,60867120283,25358.16
2025-10-27,161150.81,163040,163160,162270,162980,563753,91774291854,25821.55
2025-10-28,164775.45,164450,164945,164115,164850,417210,68652196683,26012.16
2025-10-29,165085.82,165550,167055,165275,166170,451198,74964891784,26119.85
2025-10-30,165167.65,164970,165485,164250,164950,717894,118360660673,25734.81
2025-10-31,162486.16,164950,165175,164380,164475,382269,63005743154,25858.13
2025-11-03,163780.15,164415,164915,163945,164070,397587,65373547870,25972.94
2025-11-04,165556.62,164480,165140,163450,163450,470884,77451491314,25435.7
2025-11-05,163434.44,162235,163215,161450,163215,602053,97646804502,25620.03
2025-11-06,164418.39,163880,164312,163370,164040,461690,75696117637,25130.04
2025-11-07,162298.65,161865,162935,161570,162875,614157,99571841258,25059.81
2025-11-10,161232.75,162835,163865,162305,163200,570260,93007017817,25611.74
2025-11-11,166147.42,165340,166625,165340,165945,515524,85609939138,25533.49
2025-11-12,165913.01,165700,166900,165415,166710,416126,69275512629,25517.33
2025-11-13,166029.84,166005,167320,165985,166875,439004,73156664872,24993.46
