날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-01-02,32037.28,31930,32095,31740,31990,5735290,183045820020,317.77
2025-01-03,32663.23,31980,32855,31970,32630,8939357,291405897755,324.0
2025-01-06,33411.1,32730,33410,32680,33330,7620755,252885286575,331.52
2025-01-07,33351.41,33645,33860,33330,33340,7687264,257551193265,330.89
2025-01-08,33758.08,33060,33840,33060,33660,8151095,274001018745,334.95
2025-01-09,33800.54,33645,33980,33605,33685,8978910,303170456335,335.4
2025-01-10,33718.18,33665,33870,33480,33635,10497619,353651435925,334.55
2025-01-13,33296.08,33450,33550,33105,33190,8008114,266579297750,330.31
2025-01-14,33339.26,33385,33410,33075,33335,5880779,195731322330,330.74
2025-01-15,33363.11,33465,33715,33215,33285,7096912,236973425470,330.97
2025-01-16,33835.43,33740,33890,33645,33760,6733592,227442270730,335.73
2025-01-17,33770.91,33625,33785,33510,33690,5405536,182035415700,335.09
2025-01-20,33661.99,33855,33870,33560,33635,5681869,191311936490,333.94
2025-01-21,33702.02,33840,34100,33475,33665,7125158,240254470935,334.44
2025-01-22,34137.07,33905,34155,33735,34050,5013881,170328896040,338.76
2025-01-23,33608.5,34005,34015,33635,33685,3950876,133387315585,334.5
2025-01-24,33841.82,33740,33920,33605,33775,7810490,263793289260,336.74
2025-01-31,33493.57,33405,33495,33155,33445,7775839,259472494640,333.36
2025-02-03,32611.83,32730,32730,32280,32530,15606931,506793065920,324.55
2025-02-04,33026.98,32930,33400,32800,32935,12055358,398172860465,328.72
2025-02-05,33401.6,33290,33485,33210,33325,6499482,216866650825,332.47
2025-02-06,33800.81,33540,33670,33395,33660,5068191,170471054025,336.53
2025-02-07,33542.02,33680,33710,33405,33440,7857348,263438541125,333.89
2025-02-10,33606.52,33265,33590,33115,33510,6491519,217260601795,334.5
2025-02-11,33821.31,33685,33935,33580,33775,7792158,263193885270,336.67
2025-02-12,33881.74,33720,33860,33535,33820,7996959,270289000765,337.23
2025-02-13,34248.13,33935,34195,33905,34195,6598772,225217370180,341.06
2025-02-14,34433.01,34250,34525,34210,34365,7663353,263587421200,342.76
2025-02-17,34668.66,34480,34660,34410,34615,5249340,181638969080,345.11
2025-02-18,34955.57,34650,34930,34560,34870,4974895,173181042800,347.84
2025-02-19,35616.83,35000,35730,35000,35580,6247515,222075004910,354.53
2025-02-20,35388.17,35485,35530,35220,35270,8145518,288002246255,352.15
2025-02-21,35371.82,35350,35350,35070,35310,6400775,225779149130,351.92
2025-02-24,35156.85,35010,35095,34860,35090,6901016,241855699765,349.9
2025-02-25,34934.78,34660,35025,34630,34905,5857816,204360114740,347.54
2025-02-26,35109.66,34870,35195,34725,35080,5199986,182022649325,349.31
2025-02-27,34982.26,35110,35130,34760,34940,6840998,239082094665,346.45
2025-02-28,33765.01,34380,34415,33655,33780,19442422,658166975590,334.27
2025-03-04,33740.86,33610,33920,33440,33695,7227954,243725118900,334.02
2025-03-05,34045.08,33940,34140,33665,33950,8433469,286125825708,337.08
2025-03-06,34367.36,34110,34390,34050,34285,7170876,245709830572,340.31
2025-03-07,34182.68,33970,34275,33785,34125,4542551,154995196658,338.42
2025-03-10,34224.94,33925,34305,33885,34205,4776508,163247037280,338.79
2025-03-11,33841.58,33395,33915,33295,33820,7793370,262452199673,334.96
2025-03-12,34430.71,33970,34440,33805,34355,7072173,242581187762,340.89
2025-03-13,34477.42,34560,34740,34160,34190,8755466,301496269519,341.42
2025-03-14,34425.27,34230,34480,34170,34380,6932300,238213104129,340.8
2025-03-17,35157.89,34640,35110,34640,35050,5497062,192572202284,348.19
2025-03-18,35178.97,35450,35580,35065,35135,6196410,218442681314,347.84
2025-03-19,35476.88,35155,35647,35155,35435,4697251,166712024602,350.85
2025-03-20,35745.27,35695,35815,35500,35675,5627694,200920744848,353.5
2025-03-21,35922.45,35600,35900,35525,35845,6252137,223878020367,355.18
2025-03-24,35739.59,35705,35935,35595,35720,6277697,224394964322,353.24
2025-03-25,35547.32,35930,35940,35475,35555,6571405,234061883357,351.09
2025-03-26,35934.45,35705,35970,35580,35855,5126765,183756600509,355.0
2025-03-27,35475.64,35485,35740,35385,35415,7191086,255215588381,350.26
2025-03-28,34838.56,35270,35270,34670,34845,9416839,327974325022,342.96
2025-03-31,33800.31,34220,34220,33765,33865,10984452,372254360288,332.4
2025-04-01,34387.34,34120,34480,33940,34350,9143106,313767650154,338.22
2025-04-02,34186.38,34395,34440,34040,34180,6797136,232444042652,336.26
