날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-01-02,8986.14,8865,9020,8800,8940,3190,28499120,2309.83
2025-01-03,9337.19,8940,9345,8940,9300,4207,39083360,2400.47
2025-01-06,9487.51,9445,9490,9285,9490,3029,28457575,2439.39
2025-01-07,9452.6,9565,9570,9380,9455,414,3917935,2429.09
2025-01-08,9449.62,9440,9530,9370,9400,4812,45669225,2429.87
2025-01-09,9487.66,9440,9500,9345,9500,1570,14742800,2439.59
2025-01-10,9638.94,9495,9695,9465,9645,8801,84118135,2478.63
2025-01-13,9532.12,9580,9580,9460,9480,10396,98926680,2451.16
2025-01-14,9691.33,9540,9680,9540,9630,6537,62764690,2492.09
2025-01-15,9689.57,9755,9775,9630,9635,13797,133518745,2491.76
2025-01-16,10239.15,9900,10215,9900,10200,7356,73585670,2633.95
2025-01-17,10627.58,10485,10630,10330,10620,28288,296974245,2734.75
2025-01-20,10369.96,10670,10670,10300,10310,7489,77946570,2667.87
2025-01-21,10085.35,10440,10440,9965,10030,6816,68891170,2594.45
2025-01-22,10407.25,10130,10475,10130,10420,9062,94046215,2677.88
2025-01-23,10495.42,10500,10500,10365,10475,3196,33258075,2700.41
2025-01-24,10835.82,10610,10865,10600,10770,4397,47286800,2788.6
2025-01-31,10458.26,10580,10580,10305,10400,7064,73449825,2691.36
2025-02-03,10117.94,10320,10320,9980,10110,1149,11574475,2603.59
2025-02-04,10255.04,10195,10380,10155,10210,2249,23085425,2639.36
2025-02-05,10238.76,10390,10390,10165,10180,20904,215013075,2635.02
2025-02-06,10520.0,10310,10645,10250,10460,37668,389710610,2707.35
2025-02-07,10239.42,10485,10485,10220,10240,5081,52155625,2636.08
2025-02-10,10051.55,10145,10145,9980,10025,4003,40257640,2588.04
2025-02-11,10316.83,10130,10330,10130,10330,29591,304548510,2655.96
2025-02-12,10927.36,10360,10955,10265,10945,7191,77324025,2815.72
2025-02-13,11626.59,11050,11655,10985,11575,60333,689527900,2994.37
2025-02-14,11322.03,11485,11675,11235,11275,31298,357807060,2915.46
2025-02-17,11334.39,11365,11385,11180,11325,76961,867186270,2918.54
2025-02-18,12254.77,11455,12270,11420,12270,82572,972984265,3154.15
2025-02-19,12283.84,12610,12610,12200,12290,47296,585448170,3161.12
2025-02-20,12020.93,12295,12295,11855,12035,23137,277947925,3093.74
2025-02-21,11820.65,11920,11935,11750,11825,3729,44136765,3042.17
2025-02-24,11591.21,11640,11640,11430,11525,5785,66656830,2983.28
2025-02-25,11455.73,11415,11520,11355,11460,3707,42502530,2948.07
2025-02-26,11570.2,11430,11575,11305,11500,3223,37039250,2977.17
2025-02-27,11637.18,11765,12000,11605,11605,52275,614892670,2993.61
2025-02-28,11125.52,11400,11515,11060,11060,11502,129187370,2861.72
2025-03-04,11215.34,11060,11305,10980,11245,7756,86629830,2886.51
2025-03-05,11397.69,11325,11385,11205,11320,17351,195653125,2932.18
