날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-01-02,30314.35,32330,32330,30205,30370,27233,826321455,5930.93
2025-01-03,30084.13,30345,30385,30135,30385,4015,121557800,6045.78
2025-01-06,31412.31,31295,31705,31210,31515,8871,278501150,6154.54
2025-01-07,31857.02,32365,32500,31800,31970,6769,218134180,5988.96
2025-01-08,30044.89,30595,30595,30170,30415,17374,527390475,5989.67
2025-01-09,30261.14,31230,31230,29500,30355,2539,77063300,5989.67
2025-01-10,30348.65,30450,30520,30115,30520,2134,64886250,5886.76
2025-01-13,29726.36,29660,29765,29450,29475,8210,243142340,5849.29
2025-01-14,29022.77,30350,30355,29045,29275,7107,207917540,5802.12
2025-01-15,28422.86,30105,30105,28390,28630,4013,115065080,5977.84
2025-01-16,29931.28,30095,30225,29780,30165,4577,137588240,5873.86
2025-01-17,28912.41,29605,30080,28890,29155,5164,150131965,5981.96
2025-01-20,29865.19,30500,30500,29560,29750,3214,95953395,5981.96
2025-01-21,29236.81,30530,30530,29065,29585,2853,84236460,5998.9
2025-01-22,29260.48,29645,31250,29255,29490,7201,213196500,6128.53
2025-01-23,30639.74,30285,30730,29600,30430,8551,260201030,6141.5
2025-01-24,30577.32,31340,31340,30430,30730,8627,265004905,6103.93
2025-01-31,29239.21,28785,29620,28610,29515,14501,424216745,5913.45
2025-02-03,29718.09,29515,29515,28080,28435,4852,138116455,5810.66
2025-02-04,28367.09,28460,28970,28335,28335,4369,125498025,5903.5
2025-02-05,28823.28,29980,29980,28270,28405,3649,104204895,5910.7
2025-02-06,28787.9,29000,29300,28900,29230,2946,85628240,5964.72
2025-02-07,29305.8,30105,30105,28340,29430,5394,158061630,5865.21
2025-02-10,28570.26,28505,29020,28505,28950,2950,85256880,5930.29
2025-02-11,29195.44,29815,29815,29125,29250,1292,37754690,5919.15
2025-02-12,29050.41,29250,29250,29040,29050,3460,100752705,5919.5
2025-02-13,28970.41,30160,30160,28700,29230,2088,61135665,6015.23
2025-02-14,29597.05,30230,30230,29255,29800,5083,151132240,6051.44
2025-02-17,29859.36,30035,30035,29780,29865,4698,140592925,6051.44
2025-02-18,29970.46,30090,30195,29855,30195,3903,117051145,6019.35
2025-02-19,29512.98,30190,30190,29600,29750,3157,94106725,6034.49
2025-02-20,29602.18,30565,30565,29600,29605,1323,39330380,6017.35
2025-02-21,29210.21,29580,29590,29385,29465,2327,68638445,5874.95
