날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-01-02,17179.39,17190,17190,17065,17190,12431,213146325,934.97
2025-01-03,17146.06,17160,17160,17110,17160,3486,59804170,941.04
2025-01-06,17261.86,17160,17260,17160,17255,5768,99338210,934.63
2025-01-07,17141.99,17255,17255,17020,17125,2210,37806170,933.3
2025-01-08,17117.48,17120,17125,17005,17095,3910,66838270,933.82
2025-01-09,17124.81,17130,17130,17005,17080,4680,79699790,933.82
2025-01-10,17120.27,17080,17120,17015,17080,3578,61097150,917.0
2025-01-13,16797.27,17295,17295,16705,16845,4394,74095685,923.04
2025-01-14,16916.59,16940,16940,16785,16840,5833,98070415,934.96
2025-01-15,17146.89,16875,17090,16875,17050,3201,54522285,947.25
2025-01-16,17384.28,17295,17385,17080,17315,2913,50479340,954.72
2025-01-17,17517.27,17395,17500,17390,17430,7275,126992640,961.4
2025-01-20,17638.61,17465,17650,17450,17545,9027,158131470,961.4
2025-01-21,17637.32,17640,17640,17555,17620,6253,110102460,970.75
2025-01-22,17807.25,17685,17805,17685,17745,14579,258481160,955.82
2025-01-23,17532.62,17585,17585,17420,17545,8021,140314245,957.9
2025-01-24,17561.72,17750,17750,17490,17560,5514,96792515,962.87
2025-01-31,17729.17,17765,17765,17615,17685,6326,111808655,960.24
2025-02-03,17609.46,17625,17625,17230,17510,10098,176628145,956.03
2025-02-04,17536.87,17560,17560,17420,17455,4103,71694675,955.5
2025-02-05,17526.61,17455,17495,17405,17465,3200,55810000,958.48
2025-02-06,17580.6,17460,17600,17460,17535,5639,98740540,960.69
2025-02-07,17617.04,17615,17615,17520,17555,3915,68766625,954.95
2025-02-10,17512.7,17555,17555,17470,17505,2965,51887795,956.06
2025-02-11,17536.48,17560,17560,17410,17525,6078,106371265,961.9
2025-02-12,17642.86,17610,17635,17525,17540,6276,110304550,956.75
2025-02-13,17549.93,17525,17540,17440,17485,5996,105002840,965.64
2025-02-14,17709.5,17690,17705,17590,17615,7732,136158640,965.38
2025-02-17,17712.02,17695,17695,17575,17610,6256,110063895,965.38
2025-02-18,17710.73,17610,17655,17590,17600,5756,101330605,974.25
2025-02-19,17878.65,17885,17885,17745,17750,3666,65150250,978.48
2025-02-20,17954.89,17810,17870,17810,17835,20591,367112025,975.93
2025-02-21,17905.03,17835,17905,17785,17905,11834,211514705,971.54
2025-02-24,17823.21,17865,17865,17695,17720,7022,124479285,972.98
2025-02-25,17851.79,17925,17925,17725,17780,4387,77937845,973.79
2025-02-26,17865.47,17840,17840,17745,17800,3651,64952085,972.43
2025-02-27,17840.39,17600,17815,17600,17735,4523,80431375,968.96
2025-02-28,17771.62,17750,17750,17655,17660,3274,57877270,981.12
2025-03-04,17907.33,17910,17910,17770,17830,8201,146092925,948.4
2025-03-05,17408.88,17470,17470,17300,17350,4000,69587635,949.93
2025-03-06,17435.66,17350,17965,16900,17355,10026,175780756,943.61
2025-03-07,17315.73,17235,17345,17160,17300,6588,113674182,953.32
2025-03-10,17494.62,17485,17485,17360,17375,9432,163928332,946.23
2025-03-11,17368.77,17365,17365,17230,17260,6939,119731950,934.04
2025-03-12,17144.93,17160,17160,17025,17035,1698,28951610,928.94
2025-03-13,17052.16,17000,17045,16920,16970,3052,51828574,926.47
2025-03-14,17003.08,16920,17000,16885,16910,3860,65391035,943.72
2025-03-17,17329.4,17025,17310,17025,17185,6369,109457277,952.42
2025-03-18,17493.06,17520,17520,17355,17355,7252,125925811,948.86
2025-03-19,17428.22,17345,17405,17090,17355,4060,70262620,954.65
2025-03-20,17534.27,17360,17575,17100,17385,3308,57487359,952.21
2025-03-21,17489.18,17385,17535,17330,17500,159533,2795313807,947.37
2025-03-24,17398.87,17505,17505,17285,17365,5002,86851045,955.15
2025-03-25,17541.04,17565,17580,17365,17515,2214,38728427,949.03
2025-03-26,17434.42,17480,17480,17385,17450,1842,32138580,955.01
2025-03-27,17543.28,17520,17570,17490,17500,2092,36609572,954.11
2025-03-28,17522.8,17270,17555,17270,17535,4093,71587920,946.84
2025-03-31,17387.73,17415,17415,17340,17415,1493,25965830,957.17
2025-04-01,17581.88,17610,17610,17500,17590,2553,44818862,956.05
2025-04-02,17560.02,17580,17580,17490,17560,1649,28918377,961.87
2025-04-03,17665.74,17625,17625,17480,17600,2505,43955902,920.09
2025-04-04,16894.17,17000,17000,16770,16910,3145,53088631,870.49
2025-04-07,15980.04,16015,16015,15665,15985,6310,100693541,859.1
2025-04-08,15773.99,16035,16035,15770,15775,3477,54883148,843.28
2025-04-09,15481.65,15540,15540,15345,15485,2842,43984625,895.49
2025-04-10,16441.93,16195,16445,16195,16445,3400,55794707,870.32
2025-04-11,15982.87,16445,16445,15850,15980,2952,47176790,882.87
2025-04-14,16212.77,16440,16440,16080,16215,2488,40240991,897.43
2025-04-15,16479.67,16470,16485,16350,16360,3124,51156510,895.28
2025-04-16,16439.39,16455,16455,16305,16305,3146,51344385,885.55
2025-04-17,16260.38,16310,16310,16200,16235,1632,26499105,895.55
2025-04-18,16439.57,16535,16535,16245,16330,707,11570117,895.55
2025-04-21,16438.36,16430,16430,16325,16415,728,11936065,879.81
2025-04-22,16149.22,16150,16150,16015,16150,5329,86048910,900.8
2025-04-23,16533.49,16580,16585,16475,16575,8364,138605955,903.3
2025-04-24,16578.04,16650,16650,16560,16595,2090,34702380,913.94
2025-04-25,16768.88,16810,16810,16635,16760,3136,52546350,908.13
2025-04-28,16662.04,16725,16740,16555,16605,4568,76028776,913.1
2025-04-29,16753.72,16620,16790,16620,16780,3521,58997700,917.16
2025-04-30,16825.62,16865,16895,16785,16895,2555,43120940,913.57
2025-05-02,16709.4,16750,16755,16660,16755,7547,126231730,923.45
2025-05-07,16796.91,16920,17005,16765,16835,1289,21699955,918.34
2025-05-08,16849.67,16950,16950,16800,16870,8117,136928410,922.3
2025-05-09,16918.5,16870,16940,16855,16935,2210,37366650,920.64
2025-05-12,16898.32,16915,16915,16850,16910,6387,107929060,935.76
2025-05-13,17180.01,17095,17200,17095,17160,3867,66318305,933.62
2025-05-14,17139.6,17240,17495,17135,17150,2706,46482285,928.05
2025-05-15,17039.36,17080,17080,16940,17040,2104,35814225,939.51
2025-05-16,17251.67,17100,17255,17100,17240,4949,85147245,948.87
2025-05-19,17425.32,17260,17440,17260,17325,10732,185965810,949.37
2025-05-20,17437.02,17430,17435,17330,17395,1734,30178870,947.31
2025-05-21,17401.64,17400,17400,17295,17300,5282,91418022,925.18
2025-05-22,16996.38,17250,17560,16595,16970,2997,50845080,921.48
2025-05-23,16924.75,16935,16935,16825,16935,4644,78206705,923.08
2025-05-26,16954.96,16850,16960,16850,16960,2815,47706532,923.08
