날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-01-02,25498.43,25500,25595,25280,25305,323,8174570,1569.15
2025-01-03,26644.32,25615,26945,25615,26605,1386,36848775,1605.47
2025-01-06,27635.54,26770,27795,26770,27700,1131,31259445,1634.37
2025-01-07,27756.18,28050,28490,27825,27825,798,22556595,1638.07
2025-01-08,28224.57,27700,28550,27650,28400,706,19917240,1651.41
2025-01-09,28187.44,28350,28655,28350,28535,162,4622060,1650.18
2025-01-10,28228.35,28260,28365,28260,28275,23,650295,1652.15
2025-01-13,27418.43,27990,27990,27345,27405,154,4288745,1627.7
2025-01-14,27659.06,27620,27625,27365,27625,41,1132175,1635.11
2025-01-15,27548.41,28200,28200,27610,27610,35,971285,1631.65
2025-01-16,28404.43,28600,28600,28235,28410,163,4625525,1657.34
2025-01-17,28234.53,28165,28300,28090,28300,59,1658565,1651.91
2025-01-20,28167.01,28305,28335,28210,28210,163,4612795,1649.93
2025-01-21,28184.14,28865,28945,27950,28340,337,9516545,1650.42
2025-01-22,28855.3,28540,29040,28390,28995,177,5103750,1669.94
2025-01-23,28188.2,28485,28510,28215,28340,82,2324875,1650.18
2025-01-24,28499.96,28410,28740,28395,28395,14,398105,1659.32
2025-01-31,27937.43,27745,28000,27570,27710,191,5333695,1642.77
2025-02-03,26391.97,26575,26655,26040,26505,979,25742810,1596.82
2025-02-04,27088.89,26780,27850,26780,27220,681,18468440,1618.56
2025-02-05,27690.35,27895,27945,27745,27765,332,9239285,1636.34
2025-02-06,28236.23,28020,28250,28020,28250,54,1520880,1652.65
2025-02-07,27933.07,28285,28285,27990,27990,32,898485,1643.76
2025-02-10,27908.68,27615,28020,27490,28020,194,5378010,1642.27
2025-02-11,28428.56,28600,28655,28235,28560,249,7101795,1658.33
2025-02-12,28544.98,28350,28530,28305,28530,7,199295,1661.79
2025-02-13,29063.0,28775,29150,28775,29150,414,12039060,1676.61
2025-02-14,29466.69,29475,29735,29195,29530,195,5729275,1688.22
2025-02-17,29831.73,29570,29950,29570,29770,52,1549060,1698.35
2025-02-18,30294.1,29905,30285,29905,30255,2146,64732640,1711.44
2025-02-19,31564.39,30755,31730,30750,31530,4117,128928135,1747.76
