날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-01-02,21485.16,21645,21645,21560,21610,7109808,153505370335,5868.55
2025-01-03,21460.77,21510,21515,21450,21515,4866859,104551058490,5942.47
2025-01-06,21751.77,21750,21830,21710,21765,3482869,75818420040,5975.38
2025-01-07,21634.04,21795,21820,21565,21610,6728337,145748208605,5909.03
2025-01-08,21415.41,21475,21490,21375,21480,4400738,94353946365,5918.25
2025-01-09,21527.62,21470,21520,21400,21500,3784200,81138463150,5918.25
2025-01-10,21593.63,21450,21535,21360,21530,3422167,73308841040,5827.04
2025-01-13,21348.93,21385,21400,21230,21275,6419453,136720495400,5836.22
2025-01-14,21271.12,21360,21380,21275,21360,5504433,117444508085,5842.91
2025-01-15,21266.98,21310,21310,21240,21275,3396414,72230884970,5949.91
2025-01-16,21590.72,21610,21625,21505,21615,4615763,99593830685,5937.34
2025-01-17,21570.69,21575,21600,21495,21600,3938670,84905046150,5996.66
2025-01-20,21685.98,21780,21800,21630,21700,3397968,73760089280,5996.66
2025-01-21,21504.62,21650,21695,21415,21555,9576863,206122570970,6049.24
2025-01-22,21665.34,21665,21735,21595,21715,3846479,83317791600,6086.37
2025-01-23,21747.59,21760,21805,21750,21780,3135945,68287820490,6118.71
2025-01-24,21772.54,21785,21855,21735,21765,4796680,104526520510,6101.24
2025-01-31,21927.05,21780,22045,21780,22010,5794531,127305368970,6040.53
2025-02-03,22032.15,21765,21770,21570,21605,6612219,143284752210,5994.57
2025-02-04,21807.29,21820,21865,21720,21765,6945438,151419745630,6037.88
2025-02-05,21682.83,21765,21795,21595,21600,5146711,111746346220,6061.48
2025-02-06,21820.07,21785,21890,21780,21870,5015304,109507275195,6083.57
2025-02-07,21899.67,21875,21915,21840,21865,5338696,116825133005,6025.99
2025-02-10,21744.19,21865,21900,21800,21805,7362058,160789053150,6066.44
2025-02-11,21913.8,21870,21900,21855,21860,5955675,130300905020,6068.5
2025-02-12,21935.91,21925,21960,21885,21915,7966983,174689110475,6051.97
2025-02-13,21785.46,21905,21940,21825,21835,7510968,164450401235,6115.07
2025-02-14,21953.35,21920,22005,21915,21975,4743873,104202232000,6114.63
2025-02-17,21926.96,21945,21980,21905,21975,4223756,92664946460,6114.63
2025-02-18,21957.88,21970,22025,21945,21995,4300756,94574278500,6129.58
2025-02-19,21936.59,21995,22015,21945,21955,6298188,138427749260,6144.15
2025-02-20,21979.93,22000,22015,21905,21910,8645693,189792420245,6117.52
2025-02-21,21832.27,21850,21860,21780,21815,5554041,121187577890,6013.13
2025-02-24,21357.29,21585,21585,21400,21475,7005120,150544431515,5983.25
2025-02-25,21298.38,21360,21365,21295,21330,7572238,161545549855,5955.25
2025-02-26,21237.02,21265,21320,21225,21315,7354274,156352068010,5956.06
2025-02-27,21388.45,21310,21480,21250,21475,9845456,210074170855,5861.57
2025-02-28,21346.69,21235,21360,21190,21360,9094863,193415068050,5954.5
2025-03-04,21283.24,21325,21335,21205,21335,18806346,400009643858,5778.15
2025-03-05,20920.87,21100,21135,21015,21035,15509024,326769990330,5842.63
2025-03-06,20976.87,21005,21005,20885,20960,9764687,204588626216,5738.52
2025-03-07,20665.48,20750,20765,20675,20685,11207996,232183562587,5770.2
2025-03-10,20859.61,20630,20830,20600,20755,19711546,408338995028,5614.56
2025-03-11,20386.57,20325,20430,20135,20420,13635480,276992717233,5572.07
2025-03-12,20129.7,20225,20250,20150,20165,8396160,169593278286,5599.3
2025-03-13,20266.94,20250,20300,20130,20155,18948077,382897248741,5521.52
2025-03-14,19991.78,20120,20175,20030,20100,8842095,178036779798,5638.94
2025-03-17,20330.58,20250,20275,20180,20190,15023533,303690949102,5675.12
2025-03-18,20537.33,20390,20470,20350,20470,16231018,330954318456,5614.66
2025-03-19,20326.95,20305,20365,20285,20340,14048528,285676219245,5675.29
2025-03-20,20623.53,20650,20760,20640,20715,14838024,307412915925,5662.89
2025-03-21,20632.89,20670,20745,20600,20610,14234432,294862915396,5667.56
2025-03-24,20717.89,20760,20880,20760,20870,27176000,566193726821,5767.57
2025-03-25,21103.31,21080,21115,21065,21065,12084199,254841293482,5776.65
2025-03-26,21098.83,21105,21140,21055,21060,8920026,188068058066,5712.2
2025-03-27,20847.44,20870,20900,20825,20885,14024215,292544581320,5693.31
2025-03-28,20795.97,20785,20825,20755,20820,7251173,150793339109,5580.94
2025-03-31,20474.98,20355,20355,20270,20315,5062542,102729454613,5611.85
2025-04-01,20578.32,20510,20550,20445,20520,5110539,104765790850,5633.07
2025-04-02,20580.79,20665,20675,20520,20560,7190083,147875850861,5670.97
2025-04-03,20721.68,20080,20200,20050,20115,8351209,168110934136,5396.52
2025-04-04,19282.27,19515,19525,19127,19220,11565123,222947666916,5074.08
2025-04-07,18565.86,17795,18155,17700,17795,15101953,270383535634,5062.25
2025-04-08,18586.42,18700,18880,18660,18815,8928240,167735394719,4982.77
2025-04-09,18436.42,18230,18330,17930,18135,7828412,141821262296,5456.9
2025-04-10,19799.75,19915,19945,19655,19715,8506527,168268677898,5268.05
2025-04-11,19033.83,19005,19315,18700,19275,9904774,188115202715,5363.36
2025-04-14,19030.84,19265,19315,19160,19235,5855704,112633961773,5405.97
2025-04-15,19208.11,19150,19220,19085,19195,4736653,90704299981,5396.63
2025-04-16,19188.13,19075,19110,18845,18940,6166402,117175024022,5275.7
2025-04-17,18659.08,18625,18850,18620,18835,4636839,86999118939,5282.7
2025-04-18,18740.91,18800,18840,18715,18840,1576405,29629310048,5282.7
2025-04-21,18684.9,18650,18670,18480,18550,4882581,90670496631,5158.2
2025-04-22,18266.31,18355,18455,18300,18375,6003680,110307025681,5287.76
2025-04-23,18725.16,19150,19180,19020,19040,4848097,92565221745,5375.86
2025-04-24,19225.69,19140,19200,19095,19200,3925489,75183145571,5484.77
2025-04-25,19637.86,19615,19770,19615,19725,3821560,75233560093,5525.21
2025-04-28,19784.76,19745,19780,19670,19780,2837671,55944633103,5528.75
2025-04-29,19725.32,19735,19825,19710,19735,4646247,91795730891,5560.83
2025-04-30,19615.44,19735,19740,19530,19565,4608021,90446336515,5569.06
2025-05-02,19549.03,19890,20130,19665,19665,3824817,76567676006,5686.67
2025-05-07,19457.93,19625,19635,19355,19540,5311977,103722683545,5631.28
2025-05-08,19523.51,19540,19715,19495,19650,3273790,64209602376,5663.94
2025-05-09,19686.4,19720,19905,19652,19700,4259474,84111852316,5659.91
2025-05-12,19706.14,19845,20035,19800,20015,2821321,56272322333,5844.19
2025-05-13,20547.87,20495,20565,20380,20490,4922457,100688457454,5886.55
2025-05-14,20755.38,20725,20770,20580,20765,3802566,78684667949,5892.58
2025-05-15,20402.59,20625,20625,20320,20360,3371988,68930301056,5916.93
2025-05-16,20421.38,20500,20550,20385,20410,3312309,67831177775,5958.38
2025-05-19,20684.58,20510,20580,20445,20465,2935778,60196709567,5963.6
2025-05-20,20625.75,20615,20680,20510,20545,1849647,38116216535,5940.46
2025-05-21,20470.92,20535,20535,20360,20370,2789943,56943396997,5844.61
